RUN	portfolio.GetPortfoliosSimulation	getportfoliossimulation	1552208770352	 	3.0.3
USER	Get portfolios	1	START	1552208770905	1552208770905
USER	Get portfolios	2	START	1552208770933	1552208770933
USER	Get portfolios	3	START	1552208770934	1552208770934
USER	Get portfolios	4	START	1552208770938	1552208770938
USER	Get portfolios	5	START	1552208770944	1552208770944
USER	Get portfolios	6	START	1552208770945	1552208770945
USER	Get portfolios	7	START	1552208770959	1552208770959
USER	Get portfolios	8	START	1552208770962	1552208770962
USER	Get portfolios	9	START	1552208770963	1552208770963
USER	Get portfolios	10	START	1552208770964	1552208770964
USER	Get portfolios	11	START	1552208770964	1552208770964
USER	Get portfolios	12	START	1552208770975	1552208770975
USER	Get portfolios	13	START	1552208770978	1552208770978
USER	Get portfolios	14	START	1552208770979	1552208770979
USER	Get portfolios	15	START	1552208770980	1552208770980
USER	Get portfolios	16	START	1552208770982	1552208770982
REQUEST	2		Get all portfolios	1552208770934	1552208770943	OK	 
REQUEST	3		Get all portfolios	1552208770935	1552208770956	OK	 
REQUEST	8		Get all portfolios	1552208770963	1552208770973	OK	 
REQUEST	6		Get all portfolios	1552208770946	1552208770978	OK	 
REQUEST	4		Get all portfolios	1552208770938	1552208770958	OK	 
REQUEST	5		Get all portfolios	1552208770944	1552208770955	OK	 
REQUEST	13		Get all portfolios	1552208770979	1552208771005	OK	 
REQUEST	10		Get all portfolios	1552208770964	1552208770998	OK	 
REQUEST	1		Get all portfolios	1552208770930	1552208770942	OK	 
REQUEST	7		Get all portfolios	1552208770960	1552208771008	OK	 
REQUEST	14		Get all portfolios	1552208770980	1552208771009	OK	 
USER	Get portfolios	17	START	1552208770987	1552208770987
USER	Get portfolios	18	START	1552208771012	1552208771012
USER	Get portfolios	19	START	1552208771015	1552208771015
USER	Get portfolios	20	START	1552208771017	1552208771017
REQUEST	11		Get all portfolios	1552208770974	1552208771009	OK	 
REQUEST	18		Get all portfolios	1552208771013	1552208771018	OK	 
