RUN	portfolio.GetPortfoliosSimulation	getportfoliossimulation	1552208566882	 	3.0.3
USER	Get portfolios	1	START	1552208567404	1552208567404
USER	Get portfolios	2	START	1552208567431	1552208567431
USER	Get portfolios	3	START	1552208567434	1552208567434
USER	Get portfolios	4	START	1552208567453	1552208567453
USER	Get portfolios	5	START	1552208567472	1552208567472
USER	Get portfolios	6	START	1552208567473	1552208567473
USER	Get portfolios	7	START	1552208567485	1552208567485
USER	Get portfolios	8	START	1552208567492	1552208567492
USER	Get portfolios	9	START	1552208567494	1552208567494
USER	Get portfolios	10	START	1552208567502	1552208567502
USER	Get portfolios	11	START	1552208567503	1552208567503
USER	Get portfolios	12	START	1552208567504	1552208567504
REQUEST	8		Get all portfolios	1552208567493	1552208567511	OK	 
USER	Get portfolios	13	START	1552208567504	1552208567504
USER	Get portfolios	14	START	1552208567514	1552208567514
USER	Get portfolios	15	START	1552208567514	1552208567514
USER	Get portfolios	16	START	1552208567515	1552208567515
USER	Get portfolios	17	START	1552208567515	1552208567515
REQUEST	3		Get all portfolios	1552208567434	1552208567473	OK	 
REQUEST	4		Get all portfolios	1552208567454	1552208567486	OK	 
REQUEST	1		Get all portfolios	1552208567428	1552208567456	OK	 
REQUEST	7		Get all portfolios	1552208567486	1552208567532	OK	 
REQUEST	2		Get all portfolios	1552208567432	1552208567520	OK	 
REQUEST	16		Get all portfolios	1552208567515	1552208567536	OK	 
USER	Get portfolios	18	START	1552208567516	1552208567516
USER	Get portfolios	19	START	1552208567543	1552208567543
USER	Get portfolios	20	START	1552208567549	1552208567549
USER	Get portfolios	21	START	1552208567553	1552208567553
USER	Get portfolios	22	START	1552208567555	1552208567555
USER	Get portfolios	23	START	1552208567556	1552208567556
USER	Get portfolios	24	START	1552208567557	1552208567557
USER	Get portfolios	25	START	1552208567558	1552208567558
USER	Get portfolios	26	START	1552208567567	1552208567567
USER	Get portfolios	27	START	1552208567568	1552208567568
USER	Get portfolios	28	START	1552208567571	1552208567571
USER	Get portfolios	29	START	1552208567572	1552208567572
USER	Get portfolios	30	START	1552208567573	1552208567573
USER	Get portfolios	31	START	1552208567574	1552208567574
USER	Get portfolios	32	START	1552208567576	1552208567576
USER	Get portfolios	33	START	1552208567578	1552208567578
USER	Get portfolios	34	START	1552208567580	1552208567580
USER	Get portfolios	35	START	1552208567580	1552208567580
USER	Get portfolios	36	START	1552208567582	1552208567582
USER	Get portfolios	37	START	1552208567583	1552208567583
REQUEST	9		Get all portfolios	1552208567502	1552208567588	OK	 
REQUEST	11		Get all portfolios	1552208567503	1552208567591	OK	 
USER	Get portfolios	38	START	1552208567594	1552208567594
USER	Get portfolios	39	START	1552208567595	1552208567595
USER	Get portfolios	40	START	1552208567596	1552208567596
USER	Get portfolios	41	START	1552208567598	1552208567598
USER	Get portfolios	42	START	1552208567598	1552208567598
USER	Get portfolios	43	START	1552208567602	1552208567602
USER	Get portfolios	44	START	1552208567602	1552208567602
USER	Get portfolios	45	START	1552208567603	1552208567603
USER	Get portfolios	46	START	1552208567604	1552208567604
USER	Get portfolios	47	START	1552208567606	1552208567606
REQUEST	13		Get all portfolios	1552208567514	1552208567595	OK	 
REQUEST	19		Get all portfolios	1552208567548	1552208567613	OK	 
USER	Get portfolios	48	START	1552208567608	1552208567608
USER	Get portfolios	49	START	1552208567614	1552208567614
USER	Get portfolios	50	START	1552208567617	1552208567617
USER	Get portfolios	51	START	1552208567619	1552208567619
USER	Get portfolios	52	START	1552208567622	1552208567622
USER	Get portfolios	53	START	1552208567627	1552208567627
USER	Get portfolios	54	START	1552208567628	1552208567628
USER	Get portfolios	55	START	1552208567630	1552208567630
REQUEST	20		Get all portfolios	1552208567549	1552208567638	OK	 
USER	Get portfolios	56	START	1552208567640	1552208567640
USER	Get portfolios	57	START	1552208567642	1552208567642
REQUEST	6		Get all portfolios	1552208567473	1552208567638	OK	 
USER	Get portfolios	58	START	1552208567644	1552208567644
USER	Get portfolios	59	START	1552208567647	1552208567647
USER	Get portfolios	60	START	1552208567653	1552208567653
USER	Get portfolios	61	START	1552208567654	1552208567654
USER	Get portfolios	62	START	1552208567655	1552208567655
USER	Get portfolios	63	START	1552208567657	1552208567657
USER	Get portfolios	64	START	1552208567658	1552208567658
USER	Get portfolios	65	START	1552208567659	1552208567659
USER	Get portfolios	66	START	1552208567659	1552208567659
USER	Get portfolios	67	START	1552208567660	1552208567660
USER	Get portfolios	68	START	1552208567661	1552208567661
USER	Get portfolios	69	START	1552208567661	1552208567661
USER	Get portfolios	70	START	1552208567662	1552208567662
USER	Get portfolios	71	START	1552208567663	1552208567663
USER	Get portfolios	72	START	1552208567664	1552208567664
USER	Get portfolios	73	START	1552208567669	1552208567669
USER	Get portfolios	74	START	1552208567670	1552208567670
USER	Get portfolios	75	START	1552208567671	1552208567671
USER	Get portfolios	76	START	1552208567672	1552208567672
USER	Get portfolios	77	START	1552208567673	1552208567673
USER	Get portfolios	78	START	1552208567675	1552208567675
USER	Get portfolios	79	START	1552208567677	1552208567677
USER	Get portfolios	80	START	1552208567686	1552208567686
USER	Get portfolios	81	START	1552208567688	1552208567688
USER	Get portfolios	82	START	1552208567690	1552208567690
USER	Get portfolios	83	START	1552208567692	1552208567692
USER	Get portfolios	84	START	1552208567693	1552208567693
USER	Get portfolios	85	START	1552208567694	1552208567694
USER	Get portfolios	86	START	1552208567695	1552208567695
USER	Get portfolios	87	START	1552208567696	1552208567696
USER	Get portfolios	88	START	1552208567698	1552208567698
REQUEST	49		Get all portfolios	1552208567615	1552208567703	OK	 
REQUEST	18		Get all portfolios	1552208567542	1552208567705	OK	 
REQUEST	37		Get all portfolios	1552208567583	1552208567705	OK	 
REQUEST	30		Get all portfolios	1552208567574	1552208567705	OK	 
REQUEST	14		Get all portfolios	1552208567514	1552208567706	OK	 
REQUEST	26		Get all portfolios	1552208567567	1552208567708	OK	 
USER	Get portfolios	89	START	1552208567699	1552208567699
REQUEST	57		Get all portfolios	1552208567643	1552208567717	OK	 
USER	Get portfolios	90	START	1552208567719	1552208567719
USER	Get portfolios	91	START	1552208567720	1552208567720
REQUEST	21		Get all portfolios	1552208567555	1552208567718	OK	 
USER	Get portfolios	92	START	1552208567720	1552208567720
USER	Get portfolios	93	START	1552208567722	1552208567722
USER	Get portfolios	94	START	1552208567722	1552208567722
REQUEST	38		Get all portfolios	1552208567595	1552208567727	OK	 
USER	Get portfolios	95	START	1552208567723	1552208567723
USER	Get portfolios	96	START	1552208567728	1552208567728
USER	Get portfolios	97	START	1552208567730	1552208567730
USER	Get portfolios	98	START	1552208567730	1552208567730
USER	Get portfolios	99	START	1552208567731	1552208567731
USER	Get portfolios	100	START	1552208567734	1552208567734
USER	Get portfolios	101	START	1552208567736	1552208567736
USER	Get portfolios	102	START	1552208567737	1552208567737
USER	Get portfolios	103	START	1552208567739	1552208567739
USER	Get portfolios	104	START	1552208567741	1552208567741
USER	Get portfolios	105	START	1552208567743	1552208567743
USER	Get portfolios	106	START	1552208567745	1552208567745
USER	Get portfolios	107	START	1552208567746	1552208567746
USER	Get portfolios	108	START	1552208567748	1552208567748
USER	Get portfolios	109	START	1552208567750	1552208567750
USER	Get portfolios	110	START	1552208567751	1552208567751
USER	Get portfolios	111	START	1552208567752	1552208567752
USER	Get portfolios	112	START	1552208567753	1552208567753
USER	Get portfolios	113	START	1552208567755	1552208567755
USER	Get portfolios	114	START	1552208567756	1552208567756
USER	Get portfolios	115	START	1552208567758	1552208567758
REQUEST	41		Get all portfolios	1552208567598	1552208567760	OK	 
USER	Get portfolios	116	START	1552208567760	1552208567760
USER	Get portfolios	117	START	1552208567767	1552208567767
USER	Get portfolios	118	START	1552208567768	1552208567768
REQUEST	22		Get all portfolios	1552208567556	1552208567777	OK	 
USER	Get portfolios	119	START	1552208567770	1552208567770
USER	Get portfolios	120	START	1552208567778	1552208567778
USER	Get portfolios	121	START	1552208567780	1552208567780
USER	Get portfolios	122	START	1552208567781	1552208567781
USER	Get portfolios	123	START	1552208567782	1552208567782
USER	Get portfolios	124	START	1552208567784	1552208567784
USER	Get portfolios	125	START	1552208567790	1552208567790
USER	Get portfolios	126	START	1552208567791	1552208567791
USER	Get portfolios	127	START	1552208567792	1552208567792
USER	Get portfolios	128	START	1552208567797	1552208567797
USER	Get portfolios	129	START	1552208567799	1552208567799
USER	Get portfolios	130	START	1552208567801	1552208567801
USER	Get portfolios	131	START	1552208567802	1552208567802
REQUEST	33		Get all portfolios	1552208567578	1552208567806	OK	 
USER	Get portfolios	132	START	1552208567805	1552208567805
USER	Get portfolios	133	START	1552208567807	1552208567807
USER	Get portfolios	134	START	1552208567808	1552208567808
USER	Get portfolios	135	START	1552208567809	1552208567809
USER	Get portfolios	136	START	1552208567810	1552208567810
REQUEST	44		Get all portfolios	1552208567603	1552208567815	OK	 
USER	Get portfolios	137	START	1552208567811	1552208567811
USER	Get portfolios	138	START	1552208567816	1552208567816
REQUEST	64		Get all portfolios	1552208567659	1552208567818	OK	 
USER	Get portfolios	139	START	1552208567817	1552208567817
USER	Get portfolios	140	START	1552208567821	1552208567821
USER	Get portfolios	141	START	1552208567823	1552208567823
USER	Get portfolios	142	START	1552208567824	1552208567824
USER	Get portfolios	143	START	1552208567827	1552208567827
USER	Get portfolios	144	START	1552208567827	1552208567827
USER	Get portfolios	145	START	1552208567829	1552208567829
USER	Get portfolios	146	START	1552208567831	1552208567831
USER	Get portfolios	147	START	1552208567832	1552208567832
USER	Get portfolios	148	START	1552208567834	1552208567834
USER	Get portfolios	149	START	1552208567841	1552208567841
USER	Get portfolios	150	START	1552208567843	1552208567843
USER	Get portfolios	151	START	1552208567844	1552208567844
USER	Get portfolios	152	START	1552208567845	1552208567845
USER	Get portfolios	153	START	1552208567846	1552208567846
USER	Get portfolios	154	START	1552208567848	1552208567848
USER	Get portfolios	155	START	1552208567850	1552208567850
USER	Get portfolios	156	START	1552208567852	1552208567852
USER	Get portfolios	157	START	1552208567852	1552208567852
USER	Get portfolios	158	START	1552208567853	1552208567853
USER	Get portfolios	159	START	1552208567855	1552208567855
USER	Get portfolios	160	START	1552208567856	1552208567856
USER	Get portfolios	161	START	1552208567858	1552208567858
USER	Get portfolios	162	START	1552208567859	1552208567859
USER	Get portfolios	163	START	1552208567861	1552208567861
USER	Get portfolios	164	START	1552208567862	1552208567862
USER	Get portfolios	165	START	1552208567863	1552208567863
USER	Get portfolios	166	START	1552208567863	1552208567863
USER	Get portfolios	167	START	1552208567865	1552208567865
USER	Get portfolios	168	START	1552208567865	1552208567865
USER	Get portfolios	169	START	1552208567867	1552208567867
